,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,avg_household_members,ocean_<1H OCEAN,ocean_INLAND,ocean_ISLAND,ocean_NEAR BAY,ocean_NEAR OCEAN,median_house_value
0,-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,2.5555555555555554,0,0,0,1,0,13.022766221635607
1,-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,2.109841827768014,0,0,0,1,0,12.7896867284182
2,-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,2.8022598870056497,0,0,0,1,0,12.771673345241355
3,-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,2.547945205479452,0,0,0,1,0,12.740520064864135
4,-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,2.1814671814671813,0,0,0,1,0,12.74315356270364
5,-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,2.139896373056995,0,0,0,1,0,12.505069216944454
6,-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,2.1284046692607004,0,0,0,1,0,12.608870867322864
7,-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,1.7882534775888717,0,0,0,1,0,12.39421473013906
8,-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,2.026890756302521,0,0,0,1,0,12.331387247601905
9,-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,2.172268907563025,0,0,0,1,0,12.472662584630097
10,-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,2.263681592039801,0,0,0,1,0,12.547891278953442
11,-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,2.0490463215258856,0,0,0,1,0,12.395870352803575
12,-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,2.3461538461538463,0,0,0,1,0,12.271396795480596
13,-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,1.9827586206896552,0,0,0,1,0,12.161603382806213
14,-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,1.9548387096774194,0,0,0,1,0,11.977922833779727
15,-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,2.640151515151515,0,0,0,1,0,11.849404844423074
16,-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,2.395770392749245,0,0,0,1,0,11.934926432385152
17,-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,2.1386138613861387,0,0,0,1,0,11.954407441448915
18,-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,2.3627684964200477,0,0,0,1,0,11.974777207691876
19,-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,2.5090909090909093,0,0,0,1,0,12.000897933306716
20,-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,2.463855421686747,0,0,0,1,0,11.901590234400047
21,-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,2.5382513661202184,0,0,0,1,0,11.98168457011701
22,-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,2.1234309623430963,0,0,0,1,0,11.643084929027989
23,-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,2.624615384615385,0,0,0,1,0,11.5099309859899
24,-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,2.3838862559241707,0,0,0,1,0,11.795099898183592
25,-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,2.6638655462184873,0,0,0,1,0,11.58525542883217
26,-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,2.5397489539748954,0,0,0,1,0,11.448930795918299
27,-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,2.7758186397984885,0,0,0,1,0,11.566475710526321
